CFS,DATE,NATURE CODE,ADDRESS,XCOORD,YCOORD,DOW
022110-130,2/21/2010  4:19:13 PM,MUSIC,928 NW SYCAMORE AV,7484098.0000 ,348906.0000 ,SUN
022510-6,2/25/2010  12:53:48 AM,SRN,2124 NW TYLER AV,7478694.5000 ,342674.6250 ,THU
022610-272,2/26/2010  11:07:26 PM,PARTY,4010 NW WITHAM HILL DR,7473510.5000 ,346586.6250 ,FRI
022710-31,2/27/2010  1:07:35 AM,MUSIC,2923 NE CONSER DR,7489591.0000 ,351233.1875 ,SAT
022710-44,2/27/2010  2:01:49 AM,PARTY,235 SE LILLY AV,7481614.5000 ,333668.6250 ,SAT
022710-52,2/27/2010  3:26:00 AM,SRN,365 SW 11TH ST,7480138.5000 ,339487.9063 ,SAT
022710-260,2/27/2010  9:37:25 PM,MUSIC,204 NW 17TH ST,7479190.0000 ,341399.2813 ,SAT
022710-291,2/27/2010  11:09:05 PM,MUSIC,1622 SE CRYSTAL LAKE DR,7483605.0000 ,334466.3750 ,SAT
022710-296,2/27/2010  11:16:49 PM,MUSIC,1210 SE MARSHLAND AV,7483749.0000 ,328692.1875 ,SAT
022710-311,2/27/2010  11:41:10 PM,PARTY,315 NW 8TH ST,7481629.5000 ,340857.8750 ,SAT
022710-304,2/27/2010  11:28:30 PM,SRN,6300 SW GRAND OAKS DR,7466173.0000 ,337742.3750 ,SAT
022810-12,2/28/2010  12:26:23 AM,MUSIC,1113 NE BURKE PL,7489658.5000 ,351338.8125 ,SUN
022810-18,2/28/2010  12:47:01 AM,PARTY,605 NW KINGS BV,7479087.0000 ,343009.7500 ,SUN
022810-21,2/28/2010  12:58:04 AM,MUSIC,309 SW 9TH ST,7480752.0000 ,339473.7813 ,SUN
022810-64,2/28/2010  8:16:01 AM,MUSIC,1622 SE CRYSTAL LAKE DR,7483605.0000 ,334466.3750 ,SUN
022810-74,2/28/2010  9:37:15 AM,PARTY,2494 NW GARRYANNA DR,7480995.5000 ,350310.8750 ,SUN
022810-93,2/28/2010  11:33:16 AM,MUSIC,2494 NW GARRYANNA DR,7480995.5000 ,350310.8750 ,SUN
030210-25,3/2/2010  3:16:28 AM,SRN,2464 NW GARRYANNA DR,7480986.5000 ,350081.8125 ,TUE
030410-219,3/4/2010  10:08:38 PM,PARTY,952 NW SYCAMORE AV,7483511.0000 ,348896.0000 ,THU
030410-237,3/4/2010  11:25:39 PM,MUSIC,550 NW HARRISON BV,7482630.0000 ,340805.9688 ,THU
030410-245,3/4/2010  11:49:07 PM,MUSIC,138 NE CONIFER BV,7486387.0000 ,351292.0000 ,THU
030410-247,3/4/2010  11:51:50 PM,PARTY,1460 NW VAN BUREN AV,7479903.0000 ,341479.0313 ,THU
030410-242,3/4/2010  11:31:28 PM,SRN,1015 NW MONROE AV,7480721.0000 ,340357.8750 ,THU
030510-13,3/5/2010  12:25:39 AM,PARTY,1460 NW VAN BUREN AV,7479903.0000 ,341479.0313 ,FRI
030510-25,3/5/2010  1:15:10 AM,PARTY,NW 25TH ST AND NW COOLIDGE WY,7478102.0000 ,344064.0000 ,FRI
030510-147,3/5/2010  3:35:15 PM,MUSIC,400 NW 12TH ST,7480660.0000 ,341607.7188 ,FRI
030510-219,3/5/2010  10:00:42 PM,MUSIC,2837 SW WESTERN BV,7476846.0000 ,337051.6875 ,FRI
030510-232,3/5/2010  10:48:44 PM,PARTY,524 NW 28TH ST,7477213.0000 ,342904.6875 ,FRI
030610-8,3/6/2010  12:31:23 AM,PARTY,200 NW 12TH ST,7480390.5000 ,340904.0938 ,SAT
030610-13,3/6/2010  12:48:57 AM,PARTY,NW 14TH ST AND NW MONROE AV,7479772.0000 ,340714.0000 ,SAT
030610-9,3/6/2010  12:37:49 AM,PARTY,854 SW JEFFERSON AV,7480872.5000 ,339455.7188 ,SAT
030610-15,3/6/2010  1:06:48 AM,PARTY,854 SW JEFFERSON AV,7480872.5000 ,339455.7188 ,SAT
030610-27,3/6/2010  2:00:08 AM,PARTY,320 SW 10TH ST,7480444.5000 ,339555.1563 ,SAT
030610-35,3/6/2010  2:37:33 AM,PARTY,136 NW 10TH ST,7480805.0000 ,340466.6875 ,SAT
030610-30,3/6/2010  2:09:35 AM,SRN,120 NW 12TH ST,7480273.5000 ,340602.2188 ,SAT
030610-42,3/6/2010  4:17:30 AM,MUSIC,NW GARFIELD AV AND NW 9TH ST,7483654.0000 ,346364.0000 ,SAT
030610-45,3/6/2010  4:32:58 AM,PARTY,780 NW 25TH ST,7478087.0000 ,343727.1875 ,SAT
030610-104,3/6/2010  2:12:06 PM,MUSIC,NW MAXINE AV AND NW 9TH ST,7485954.0000 ,351612.0000 ,SAT
030610-127,3/6/2010  4:29:52 PM,PARTY,621 NW 17TH ST,7479769.0000 ,342794.7813 ,SAT
030610-160,3/6/2010  8:24:30 PM,MUSIC,804 NW 26TH ST,7477808.5000 ,343821.9375 ,SAT
030610-196,3/6/2010  11:10:11 PM,PARTY,2124 NW TYLER AV,7478694.5000 ,342674.6250 ,SAT
030710-3,3/7/2010  12:19:55 AM,MUSIC,326 NW KINGS BV,7479043.0000 ,341936.7500 ,SUN
030710-15,3/7/2010  1:29:09 AM,PARTY,1845 NW DIVISION PL,7482977.5000 ,347697.4688 ,SUN
